Categoría,Subcategoría,Producto,Marca,Descripción,Presentación,Unidades
LÍNEA DE ACEITES,Aceites económicos,Aceite económico,Varios,Aceites en línea económica,Varios tamaños,Variable
LÍNEA DE ACEITES,Aceites premium,Aceite Oleo Llano,Oleo Llano,100% oleína de palma,Botella plástica,Variable
LÍNEA DE ACEITES,Aceites de oliva,Aceite de oliva,Varios,Aceite de oliva,Varios tamaños,Variable
LÍNEA DE POLLO,Pollo procesado,Pollo adobado,Casay,Pollo sin marinar - Marinado - Adobado - BBQ - Lomo,Paquete,Variable
LÍNEA DE POLLO,Chuzos,Chuzos de pollo,Varios,Chuzos de pollo,Unidad,Variable
LÍNEA DE POLLO,Milanesas,Milanesas apanadas,Varios,Milanesas apanadas de pollo,Paquete,Variable
LÍNEA DE POLLO,Alitas,Alitas de pollo,Varios,Alitas de pollo,Paquete,Variable
LÍNEA DE POLLO,Menudencias,Menudencias de pollo,Varios,Menudencias de pollo,Paquete,Variable
LÍNEA DE POLLO,Moliexpress,Moliexpress,Varios,Producto procesado de pollo,Paquete,Variable
LÍNEA DE POLLO,Chorizos,Chorizos de pollo,Varios,Chorizos de pollo,Paquete,Variable
LÍNEA DE POLLO,Muslos y Contramuslos,Muslos y Contramuslos,Varios,Muslos y Contramuslos de pollo,Paquete,Variable
LÍNEA DE LÁCTEOS,Quesos,Queso mozzarella,Varios,Queso mozzarella,Variable,Variable
LÍNEA DE LÁCTEOS,Quesos,Queso campesino,Varios,Queso campesino,Variable,Variable
LÍNEA DE LÁCTEOS,Quesos,Queso costeño y parmesano,Varios,Queso costeño y parmesano,Variable,Variable
LÍNEA DE LÁCTEOS,Quesos,Queso crema,Varios,Queso crema,Variable,Variable
LÍNEA DE LÁCTEOS,Leche,Leche líquida y en polvo,Varios,Leche líquida y en polvo,Variable,Variable
LÍNEA DE LÁCTEOS,Cremas,Crema de leche,Varios,Crema de leche,Variable,Variable
LÍNEA DE LÁCTEOS,Cremas,Crema agria,Colanta,Crema de leche entera cultivada pasteurizada - Sour Cream,Caja 4 Kg,Aprox. 267 porciones
LÍNEA DE LÁCTEOS,Mantequillas,Mantequilla,Varios,Mantequilla,Variable,Variable
LÍNEA DE LÁCTEOS,Sueros,Suero costeño,Varios,Suero costeño,Variable,Variable
LÍNEA DE LÁCTEOS,Cremas especiales,Crema Chantilly,Varios,Crema Chantilly,Variable,Variable
LÍNEA DE PANES,Pan hamburguesa,Pan hamburguesa,Lorem,Pan para hamburguesa,Paquete 12 unidades,12
LÍNEA DE PANES,Pan perro,Pan perro caliente,Varios,Pan para perro caliente,Paquete,Variable
LÍNEA DE PANES,Pan tajado,Pan tajado,Varios,Pan tajado,Paquete,Variable
LÍNEA DE PANES,Croissants,Croissants,Varios,Croissants,Paquete,Variable
LÍNEA DE SALSAS,Salsas básicas,Salsa rosada,Varios,Salsa rosada,Variable,Variable
LÍNEA DE SALSAS,Salsas básicas,Salsa de tomate,Varios,Salsa de tomate,Variable,Variable
LÍNEA DE SALSAS,Salsas especiales,Salsa piña,Pompeya,Salsa con sabor a piña,Bolsa 4 Kg,Aprox. 267 porciones
LÍNEA DE SALSAS,Salsas especiales,Salsa BBQ,Pompeya,Salsa BBQ,Bolsa 4 Kg,Aprox. 267 porciones
LÍNEA DE SALSAS,Salsas básicas,Salsa mostaza,Varios,Salsa mostaza,Variable,Variable
LÍNEA DE SALSAS,Salsas para carnes,Salsas para carne,Varios,Salsas especiales para carne,Variable,Variable
LÍNEA DE SALSAS,Aderezos,Aderezos,Varios,Aderezos para ensaladas,Variable,Variable
LÍNEA DE SALSAS,Salsas picantes,Salsas picantes,Varios,Salsas picantes y dulces,Variable,Variable
LÍNEA DE SALSAS,Salsas gourmet,Salsas gourmet,Varios,Salsas gourmet especiales,Variable,Variable
LÍNEA DE CONGELADOS,Empanadas,Empanadas y pasteles,Varios,Empanadas y pasteles congelados,Paquete,Variable
LÍNEA DE CONGELADOS,Palitos,Palitos y pancerotti,Varios,Palitos y pancerotti,Paquete,Variable
LÍNEA DE CONGELADOS,Arepas,Arepas de queso y patacones,Varios,Arepas de queso y patacones,Paquete,Variable
LÍNEA DE CONGELADOS,Vegetales,Mix de verduras y maicitos,Varios,Mix de verduras y maicitos,Paquete,Variable
LÍNEA DE CONGELADOS,Papas,Papas fritas,Varios,Papas fritas congeladas,Paquete,Variable
LÍNEA DE CONGELADOS,Maíz,Maíz dulce desgranado,San Miguel,Maíz dulce desgranado,500 g,Aprox. 6 porciones
LÍNEA DE CONGELADOS,Maíz,Maíz dulce desgranado,San Miguel,Maíz dulce desgranado,1000 g,Aprox. 12 porciones
LÍNEA DE HELADERÍA Y REPOSTERÍA,Conos,Cucuruchos - conchas y barquillos,Los Bellanitas,Conos para helado,Paquete,Variable
